scenario_id,standard_name,candidate_alias,language,source_id,review_status,equivalence_note
thermal_power_boiler,flue_gas_o2,boiler oxygen level,en,boiler_oxygen_ieee_2020,approved,锅炉氧量
thermal_power_boiler,furnace_temperature,combustion chamber temperature,en,boiler_oxygen_ieee_2020,approved,炉膛燃烧温度
thermal_power_boiler,secondary_air_flow,total air flow,en,boiler_oxygen_ieee_2020,review,总风量不能等同二次风量
cement_rotary_kiln,raw_meal_feed,kiln feed rate,en,cement_kiln_model_2022,approved,入窑生料喂料率
cement_rotary_kiln,raw_meal_feed,raw meal feed rate,en,cement_kiln_model_2022,approved,生料喂料率
cement_rotary_kiln,coal_feed,main burner fuel rate,en,cement_kiln_electronics_2024,approved,窑头主燃烧器燃料量
cement_rotary_kiln,coal_feed,kiln fuel feed,en,cement_kiln_model_2022,approved,回转窑燃料喂入量
cement_rotary_kiln,calciner_coal_feed,calciner fuel rate,en,cement_kiln_electronics_2024,approved,分解炉燃料量
cement_rotary_kiln,calciner_coal_feed,precalciner coal feed,en,cement_kiln_model_2022,approved,预分解炉喂煤量
cement_rotary_kiln,kiln_speed,kiln rotational speed,en,cement_kiln_model_2022,approved,回转窑转速
cement_rotary_kiln,kiln_speed,rotary kiln rpm,en,cement_kiln_model_2022,approved,回转窑每分钟转速
cement_rotary_kiln,kiln_inlet_temperature,kiln back end temperature,en,cement_kiln_model_2022,approved,窑尾温度
cement_rotary_kiln,kiln_outlet_temperature,burning zone temperature,en,cement_kiln_model_2022,approved,烧成带代表温度
cement_rotary_kiln,preheater_exit_temperature,preheater outlet gas temperature,en,cement_kiln_model_2022,approved,预热器出口气温
cement_rotary_kiln,preheater_exit_temperature,cyclone one outlet temperature,en,cement_kiln_model_2022,approved,一级旋风筒出口温度
cement_rotary_kiln,kiln_inlet_o2,kiln inlet oxygen,en,cement_kiln_electronics_2024,approved,窑尾氧含量
cement_rotary_kiln,clinker_free_lime,clinker free CaO,en,cement_kiln_model_2022,approved,熟料游离氧化钙
cement_rotary_kiln,clinker_temperature,calcination temperature,en,cement_kiln_electronics_2024,review,煅烧温度不一定等于篦冷机入口熟料温度
wastewater_aeration,influent_flow,influent wastewater flow rate,en,wastewater_bsm1_report,approved,进水流量
wastewater_aeration,influent_flow,plant influent flow Qi,en,wastewater_bsm1_report,approved,BSM进水流量符号
wastewater_aeration,influent_cod,influent total COD,en,wastewater_bsm1_report,approved,进水总COD
wastewater_aeration,influent_ammonia,influent ammonium nitrogen,en,wastewater_bsm1_report,approved,进水氨氮
wastewater_aeration,aeration_air_flow,aeration airflow rate,en,wastewater_bsm1_report,approved,曝气空气流量
wastewater_aeration,aeration_air_flow,blower air delivery,en,wastewater_iwa_benchmark,approved,鼓风机送风量
wastewater_aeration,dissolved_oxygen,dissolved oxygen concentration SO,en,wastewater_bsm1_report,approved,BSM溶解氧状态变量
wastewater_aeration,dissolved_oxygen,aerobic reactor DO,en,wastewater_bsm1_report,approved,好氧池溶解氧
wastewater_aeration,mlss,mixed liquor suspended solids,en,wastewater_bsm1_report,approved,MLSS全称
wastewater_aeration,effluent_cod,effluent total COD,en,wastewater_bsm1_report,approved,出水总COD
wastewater_aeration,effluent_ammonia,effluent ammonium nitrogen,en,wastewater_bsm1_report,approved,出水氨氮
wastewater_aeration,return_sludge_flow,return activated sludge flow Qr,en,wastewater_bsm1_report,approved,回流污泥流量
wastewater_aeration,return_sludge_flow,RAS recycle rate,en,wastewater_bsm1_report,approved,回流活性污泥流率
wastewater_aeration,aeration_air_flow,oxygen transfer coefficient KLa,en,wastewater_bsm1_report,review,KLa与空气流量相关但量纲及物理含义不等价
wastewater_aeration,return_sludge_flow,internal recycle flow Qint,en,wastewater_bsm1_report,review,内回流与污泥回流不是同一物流
steel_reheating_furnace,furnace_zone1_temp,zone one furnace temperature,en,steel_furnace_mpc_2023,approved,第一炉区温度
steel_reheating_furnace,furnace_zone1_temp,furnace preheating area temperature,en,steel_furnace_mpc_2023,approved,炉内预热区域温度
steel_reheating_furnace,furnace_zone1_temp,预热区炉膛温度,zh,steel_furnace_monitoring_2025,approved,预热区炉温规范中文表达
steel_reheating_furnace,furnace_zone3_temp,zone three furnace temperature,en,steel_furnace_mpc_2023,approved,第三炉区温度
steel_reheating_furnace,furnace_zone3_temp,furnace soaking area temperature,en,steel_furnace_mpc_2023,approved,炉内均热区域温度
steel_reheating_furnace,furnace_zone3_temp,均热区炉膛温度,zh,steel_furnace_monitoring_2025,approved,均热区炉温规范中文表达
distillation_column,feed_flow,tower feed flow rate,en,distillation_hssed_2025,approved,精馏塔进料流率
distillation_column,feed_flow,feedstock flow to column,en,distillation_hssed_2025,approved,进入塔的原料流量
distillation_column,feed_flow,column inlet feed flow,en,distillation_hssed_2025,approved,塔入口进料流量
distillation_column,feed_flow,精馏塔进料量,zh,distillation_hssed_2025,approved,塔进料规范中文表达
distillation_column,feed_flow,原料进塔流量,zh,distillation_hssed_2025,approved,进塔原料流量
thermal_power_boiler,secondary_air_flow,secondary combustion air flow,en,boiler_airflow_2024,approved,二次助燃空气流量
thermal_power_boiler,secondary_air_flow,SA airflow,en,boiler_airflow_2024,approved,二次风常用缩写
thermal_power_boiler,secondary_air_flow,secondary air volume rate,en,boiler_airflow_2024,approved,二次风体积流率
thermal_power_boiler,secondary_air_flow,锅炉二次助燃风量,zh,boiler_airflow_2024,approved,二次风中文工艺表达
thermal_power_boiler,drum_level,steam drum water level,en,boiler_drum_level_2022,approved,汽包水位
thermal_power_boiler,drum_level,measured water level in steam drum,en,boiler_drum_level_2022,approved,汽包实测水位
thermal_power_boiler,drum_level,boiler drum liquid level,en,boiler_drum_level_2022,approved,锅炉汽包液位
thermal_power_boiler,drum_level,汽包水位测量值,zh,boiler_drum_level_2022,approved,汽包水位中文测点表达
thermal_power_boiler,main_steam_pressure,main steam line pressure,en,boiler_airflow_2024,approved,主蒸汽管线压力
thermal_power_boiler,main_steam_pressure,superheated main steam pressure,en,boiler_airflow_2024,approved,过热主蒸汽压力
thermal_power_boiler,main_steam_pressure,主蒸汽出口压力,zh,boiler_airflow_2024,approved,主汽出口压力
thermal_power_boiler,unit_load,gross generator load,en,boiler_oxygen_ieee_2020,approved,发电机组总负荷
thermal_power_boiler,unit_load,boiler unit output,en,boiler_oxygen_ieee_2020,approved,锅炉机组出力
thermal_power_boiler,unit_load,generator active load,en,boiler_oxygen_ieee_2020,approved,发电机有功负荷
thermal_power_boiler,unit_load,机组当前出力,zh,boiler_oxygen_ieee_2020,approved,机组负荷中文表达
cement_rotary_kiln,clinker_temperature,hot clinker temperature at kiln exit,en,cement_kiln_cooler_apc_2023,approved,窑出口热熟料温度
cement_rotary_kiln,clinker_temperature,grate cooler inlet clinker temperature,en,cement_kiln_cooler_apc_2023,approved,篦冷机入口熟料温度
cement_rotary_kiln,clinker_temperature,red hot clinker temperature,en,cement_kiln_cooler_apc_2023,approved,红热熟料温度
cement_rotary_kiln,clinker_temperature,入冷却机熟料温度,zh,cement_kiln_cooler_apc_2023,approved,熟料入篦冷机温度
cement_rotary_kiln,kiln_outlet_temperature,kiln burning end temperature,en,cement_kiln_cooler_apc_2023,approved,回转窑烧成端温度
cement_rotary_kiln,kiln_outlet_temperature,kiln head thermal zone temperature,en,cement_kiln_cooler_apc_2023,approved,窑头热工代表温度
cement_rotary_kiln,kiln_outlet_temperature,窑头烧成区温度,zh,cement_kiln_cooler_apc_2023,approved,窑头烧成区中文表达
cement_rotary_kiln,raw_meal_feed,raw mix feed rate,en,cement_kiln_model_2022,approved,生料混合料喂料率
cement_rotary_kiln,raw_meal_feed,kiln raw feed quantity,en,cement_kiln_model_2022,approved,入窑生料量
cement_rotary_kiln,raw_meal_feed,入窑生料喂料量,zh,cement_kiln_model_2022,approved,入窑生料中文表达
wastewater_aeration,influent_cod,inlet chemical oxygen demand,en,wastewater_bsm1_report,approved,进水化学需氧量
wastewater_aeration,influent_cod,raw wastewater COD concentration,en,wastewater_bsm1_report,approved,原污水COD浓度
wastewater_aeration,influent_cod,进厂污水COD,zh,wastewater_bsm1_report,approved,进水COD中文方向表达
wastewater_aeration,effluent_cod,outlet chemical oxygen demand,en,wastewater_bsm1_report,approved,出水化学需氧量
wastewater_aeration,effluent_cod,treated effluent COD concentration,en,wastewater_bsm1_report,approved,处理出水COD浓度
wastewater_aeration,effluent_cod,最终出水COD,zh,wastewater_bsm1_report,approved,出水COD中文方向表达
wastewater_aeration,influent_ammonia,inlet ammonium nitrogen concentration,en,wastewater_bsm1_report,approved,进水氨氮浓度
wastewater_aeration,influent_ammonia,influent NH4 N,en,wastewater_bsm1_report,approved,进水铵态氮缩写
wastewater_aeration,influent_ammonia,原污水氨氮,zh,wastewater_bsm1_report,approved,进水氨氮中文方向表达
wastewater_aeration,effluent_ammonia,outlet ammonium nitrogen concentration,en,wastewater_bsm1_report,approved,出水氨氮浓度
wastewater_aeration,effluent_ammonia,effluent NH4 N,en,wastewater_bsm1_report,approved,出水铵态氮缩写
wastewater_aeration,effluent_ammonia,最终出水氨氮,zh,wastewater_bsm1_report,approved,出水氨氮中文方向表达
wastewater_aeration,aeration_air_flow,biological aeration air rate,en,wastewater_iwa_benchmark,approved,生化曝气空气流率
wastewater_aeration,aeration_air_flow,blower discharge airflow,en,wastewater_iwa_benchmark,approved,鼓风机出口空气流量
wastewater_aeration,aeration_air_flow,曝气池鼓风机送风量,zh,wastewater_iwa_benchmark,approved,曝气风量中文设备表达
steel_reheating_furnace,timestamp,process sampling timestamp,en,steel_furnace_monitoring_2025,approved,过程采样时间戳
steel_reheating_furnace,timestamp,furnace record datetime,en,steel_furnace_monitoring_2025,approved,加热炉记录时间
steel_reheating_furnace,furnace_zone1_temp,zone 1 temp,en,steel_furnace_mpc_2023,approved,第一炉区温度短标签
steel_reheating_furnace,furnace_zone1_temp,Z1 furnace temp,en,steel_furnace_mpc_2023,approved,第一炉区DCS缩写
steel_reheating_furnace,furnace_zone1_temp,第一段炉温,zh,steel_furnace_monitoring_2025,approved,预热段序号表达
steel_reheating_furnace,furnace_zone3_temp,zone 3 temp,en,steel_furnace_mpc_2023,approved,第三炉区温度短标签
steel_reheating_furnace,furnace_zone3_temp,Z3 furnace temp,en,steel_furnace_mpc_2023,approved,第三炉区DCS缩写
steel_reheating_furnace,furnace_zone3_temp,第三段炉温,zh,steel_furnace_monitoring_2025,approved,均热段序号表达
steel_reheating_furnace,furnace_zone3_temp,均热段温度测点,zh,steel_furnace_monitoring_2025,approved,均热段现场测点表达
distillation_column,column_pressure,distillation tower pressure,en,distillation_hssed_2025,approved,精馏塔压力
distillation_column,column_pressure,tower pressure PV,en,distillation_hssed_2025,approved,塔压DCS标签
distillation_column,column_pressure,overhead column pressure,en,distillation_hssed_2025,approved,塔顶代表压力
distillation_column,column_pressure,精馏塔操作压力,zh,distillation_hssed_2025,approved,塔操作压力中文表达
thermal_power_boiler,secondary_air_flow,SA flow rate,en,boiler_airflow_2024,approved,二次风短缩写标签
thermal_power_boiler,secondary_air_flow,SA flow meter,en,boiler_airflow_2024,approved,二次风流量计标签
thermal_power_boiler,secondary_air_flow,secondary air flow PV,en,boiler_airflow_2024,approved,二次风DCS过程值
thermal_power_boiler,secondary_air_flow,二次风量测点,zh,boiler_airflow_2024,approved,二次风现场测点表达
thermal_power_boiler,primary_air_flow,PA flow rate,en,boiler_airflow_2024,approved,一次风短缩写标签
thermal_power_boiler,primary_air_flow,primary air flow PV,en,boiler_airflow_2024,approved,一次风DCS过程值
thermal_power_boiler,main_steam_pressure,MS steam pressure,en,boiler_airflow_2024,approved,主汽压力缩写标签
thermal_power_boiler,main_steam_pressure,main steam header pressure,en,boiler_airflow_2024,approved,主蒸汽母管压力
thermal_power_boiler,main_steam_pressure,主汽母管压力,zh,boiler_airflow_2024,approved,主蒸汽压力中文设备表达
thermal_power_boiler,unit_load,generation load MW,en,boiler_oxygen_ieee_2020,approved,发电负荷与单位
thermal_power_boiler,unit_load,unit output MW,en,boiler_oxygen_ieee_2020,approved,机组出力短标签
thermal_power_boiler,unit_load,发电机有功出力,zh,boiler_oxygen_ieee_2020,approved,机组负荷中文电气表达
cement_rotary_kiln,kiln_outlet_temperature,rotary kiln outlet thermal measurement,en,cement_kiln_cooler_apc_2023,approved,回转窑出口热工测量
cement_rotary_kiln,kiln_outlet_temperature,kiln outlet zone temp,en,cement_kiln_cooler_apc_2023,approved,窑出口区温度短标签
cement_rotary_kiln,kiln_outlet_temperature,kiln head hood temperature,en,cement_kiln_cooler_apc_2023,approved,窑头罩温度
cement_rotary_kiln,kiln_outlet_temperature,窑出口热工温度,zh,cement_kiln_cooler_apc_2023,approved,窑出口温度中文表达
cement_rotary_kiln,raw_meal_feed,RM feed rate,en,cement_kiln_model_2022,approved,生料喂料短缩写
cement_rotary_kiln,raw_meal_feed,rawmeal rate,en,cement_kiln_model_2022,approved,生料流率紧凑写法
cement_rotary_kiln,raw_meal_feed,kiln meal feed,en,cement_kiln_model_2022,approved,入窑生料短标签
wastewater_aeration,influent_cod,inlet COD,en,wastewater_bsm1_report,approved,进水COD短标签
wastewater_aeration,influent_cod,WWTP influent COD,en,wastewater_bsm1_report,approved,污水厂进水COD
wastewater_aeration,influent_cod,raw water COD,en,wastewater_bsm1_report,approved,原污水COD短标签
wastewater_aeration,effluent_cod,outlet COD,en,wastewater_bsm1_report,approved,出水COD短标签
wastewater_aeration,effluent_cod,WWTP effluent COD,en,wastewater_bsm1_report,approved,污水厂出水COD
wastewater_aeration,influent_ammonia,inlet NH3 N,en,wastewater_bsm1_report,approved,进水氨氮短标签
wastewater_aeration,influent_ammonia,WWTP influent ammonia,en,wastewater_bsm1_report,approved,污水厂进水氨氮
wastewater_aeration,effluent_ammonia,outlet NH3 N,en,wastewater_bsm1_report,approved,出水氨氮短标签
wastewater_aeration,effluent_ammonia,WWTP effluent ammonia,en,wastewater_bsm1_report,approved,污水厂出水氨氮
wastewater_aeration,effluent_ammonia,final ammonia nitrogen,en,wastewater_bsm1_report,approved,最终出水氨氮
wastewater_aeration,aeration_air_flow,blower flow rate,en,wastewater_iwa_benchmark,approved,曝气鼓风机流量短标签
wastewater_aeration,aeration_air_flow,aeration blower flow PV,en,wastewater_iwa_benchmark,approved,曝气风量DCS过程值
wastewater_aeration,aeration_air_flow,air blower flow,en,wastewater_iwa_benchmark,approved,鼓风空气流量
thermal_power_boiler,feedwater_flow,F74_00,en,damadics_lublin_2002,approved,Lublin糖厂锅炉入口给水流量真实标签
thermal_power_boiler,main_steam_flow,F74_30,en,damadics_lublin_2002,approved,Lublin糖厂锅炉出口蒸汽流量真实标签
thermal_power_boiler,main_steam_pressure,P74_30,en,damadics_lublin_2002,approved,Lublin糖厂锅炉出口蒸汽压力真实标签
thermal_power_boiler,main_steam_temperature,T74_30,en,damadics_lublin_2002,approved,Lublin糖厂锅炉出口蒸汽温度真实标签
thermal_power_boiler,drum_level,LC74_20PV,en,damadics_lublin_2002,review,公开标签为百分比而本模板为毫米，量纲不等价需人工确认
